order_detail_id,order_id,prod_id,qty_ord,unit_price,disc_pct,line_tot,ship_status,fulfill_loc
ORDDET0000001,ORD000001,PROD00353,5,93.32,0,466.6,Returned,WH04
ORDDET0000002,ORD000001,PROD00156,3,1013.39,0,3040.17,Returned,WH03
ORDDET0000003,ORD000001,PROD00356,1,388.41,0,388.41,Returned,WH03
ORDDET0000004,ORD000001,PROD00325,3,1256.39,0,3769.17,Returned,WH05
ORDDET0000005,ORD000001,PROD00194,2,213.67925363939855,0,427.36,Returned,WH01
ORDDET0000006,ORD000002,PROD00097,3,903.8,0,2711.4,Returned,WH02
ORDDET0000007,ORD000002,PROD00067,1,558.6,0,558.6,Returned,WH01
ORDDET0000008,ORD000003,PROD00078,3,346.44,0,1039.32,On Hold,WH05
ORDDET0000009,ORD000003,PROD00120,1,184.38,0,184.38,On Hold,WH03
ORDDET0000010,ORD000003,PROD00248,2,569.29,0,1138.58,On Hold,WH01
ORDDET0000011,ORD000003,PROD00234,2,1094.18,0,2188.36,On Hold,WH01
ORDDET0000012,ORD000003,PROD00407,5,921.23,0,4606.15,On Hold,WH05
ORDDET0000013,ORD000004,PROD00311,1,371.08,0,371.08,Returned,WH04
ORDDET0000014,ORD000004,PROD00367,1,566.33,0,566.33,Returned,WH05
ORDDET0000015,ORD000005,PROD00092,2,534.32,0,1068.64,In Transit,WH03
ORDDET0000016,ORD000005,PROD00353,4,93.32,10,335.95,In Transit,WH01
ORDDET0000017,ORD000005,PROD00269,5,1161.1,20,4644.4,In Transit,WH03
ORDDET0000018,ORD000006,PROD00068,2,535.4,0,1070.8,Delivered,WH01
ORDDET0000019,ORD000006,PROD00484,4,788.98,0,3155.92,Delivered,WH04
ORDDET0000020,ORD000006,PROD00337,3,1103.24,0,3309.72,Delivered,WH04
ORDDET0000021,ORD000007,PROD00038,4,1028.23,25,3084.69,Returned,WH02
ORDDET0000022,ORD000007,PROD00259,4,1115.62,10,4016.23,Returned,WH02
ORDDET0000023,ORD000007,PROD00140,2,529.6333593802085,20,847.41,Returned,WH03
ORDDET0000024,ORD000007,PROD00443,5,355.45,0,1777.25,Returned,WH03
ORDDET0000025,ORD000008,PROD00230,1,796.33,10,716.7,Cancelled,WH03
ORDDET0000026,ORD000008,PROD00113,1,957.66,20,766.13,Cancelled,WH02
ORDDET0000027,ORD000008,PROD00081,5,616.83,5,2929.94,Cancelled,WH02
ORDDET0000028,ORD000008,PROD00355,2,381.17,20,609.87,Cancelled,WH01
ORDDET0000029,ORD000008,PROD00076,1,1291.93,0,1291.93,Cancelled,WH01
ORDDET0000030,ORD000009,PROD00480,3,191.46,0,574.38,Returned,WH01
ORDDET0000031,ORD000009,PROD00164,1,570.94,0,570.94,Returned,WH02
ORDDET0000032,ORD000009,PROD00335,1,581.41,0,581.41,Returned,WH02
ORDDET0000033,ORD000009,PROD00319,1,1310.97,0,1310.97,Returned,WH02
ORDDET0000034,ORD000009,PROD00419,1,1216.42,0,1216.42,Returned,WH02
ORDDET0000035,ORD000010,PROD00396,2,435.61,25,653.42,In Transit,WH02
ORDDET0000036,ORD000010,PROD00208,4,1562.84,5,5938.79,In Transit,WH03
ORDDET0000037,ORD000010,PROD00394,4,1306.98,15,4443.73,In Transit,WH04
ORDDET0000038,ORD000011,PROD00299,2,1465.6,0,2931.2,On Hold,WH04
ORDDET0000039,ORD000011,PROD00099,2,636.95,0,1273.9,On Hold,WH03
ORDDET0000040,ORD000011,PROD00129,1,449.85,0,449.85,On Hold,WH03
ORDDET0000041,ORD000012,PROD00089,2,69.36,25,104.04,Cancelled,WH03
ORDDET0000042,ORD000013,PROD00428,3,649.99,0,1949.97,Cancelled,WH02
ORDDET0000043,ORD000013,PROD00342,1,191.64,0,191.64,Cancelled,WH04
ORDDET0000044,ORD000013,PROD00005,1,208.19,0,208.19,Cancelled,WH01
ORDDET0000045,ORD000014,PROD00010,5,1461.79,0,7308.95,Delivered,WH05
ORDDET0000046,ORD000015,PROD00327,5,194.79,5,925.25,Cancelled,WH05
ORDDET0000047,ORD000015,PROD00047,5,525.76,20,2103.04,Cancelled,WH04
ORDDET0000048,ORD000015,PROD00058,5,728.79,25,2732.96,Cancelled,WH01
ORDDET0000049,ORD000015,PROD00456,4,542.25,15,1843.65,Cancelled,WH05
ORDDET0000050,ORD000015,PROD00408,5,568.75,25,2132.81,Cancelled,WH02
ORDDET0000051,ORD000016,PROD00176,5,566.43,0,2832.15,Cancelled,WH03
ORDDET0000052,ORD000016,PROD00044,2,1335.44,15,2270.25,Cancelled,WH01
ORDDET0000053,ORD000016,PROD00317,4,772.82,15,2627.59,Cancelled,WH02
ORDDET0000054,ORD000016,PROD00262,1,50.8,15,43.18,Cancelled,WH02
ORDDET0000055,ORD000016,PROD00196,2,1125.44,5,2138.34,Cancelled,WH05
ORDDET0000056,ORD000017,PROD00302,1,147.81,0,147.81,Processing,WH04
ORDDET0000057,ORD000017,PROD00188,4,1310.57,0,5242.28,Processing,WH05
ORDDET0000058,ORD000017,PROD00082,1,266.64,0,266.64,Processing,WH03
ORDDET0000059,ORD000018,PROD00159,2,653.97,10,1177.15,On Hold,WH02
ORDDET0000060,ORD000018,PROD00123,3,1240.85,0,3722.55,On Hold,WH01
