order_id,order_date,cust_id,order_status,ship_date,deliv_date,ship_method,ship_cost,pay_method,camp_id,promo_flag,order_src,sales_rep_id,tot_amt,tax_amt,disc_amt,net_amt
ORD000001,2025-03-01,CUST00837,Returned,2025-03-02,2025-03-05,International,61.26,Credit Card,,0,Website,SR006,8091.71,647.34,0.0,8800.31
ORD000002,2024-04-19,CUST01047,Returned,2024-04-20,2024-04-25,Next Day,32.15,Bank Transfer,,0,In-Store,SR016,3270.0,261.6,0.0,3563.75
ORD000003,2025-03-04,CUST01380,On Hold,,,International,85.49,Bank Transfer,,0,In-Store,SR019,9156.789999999999,732.54,0.0,9974.82
ORD000004,2024-07-23,CUST01325,Returned,2024-07-26,2024-08-01,Local Pickup,0.0,PayPal,,0,Website,SR027,937.4100000000001,74.99,0.0,1012.4
ORD000005,2024-02-28,CUST00971,Shipped,2024-03-01,,Standard,11.2,Bank Transfer,CAMP003,1,Website,SR014,6048.99,483.92,1198.428,6544.11
ORD000006,2025-01-02,CUST01119,Completed,2025-01-05,2025-01-13,Next Day,38.02,Bank Transfer,,0,Website,SR011,7536.4400000000005,602.92,0.0,8177.38
ORD000007,2024-10-27,CUST00173,Returned,2024-10-29,2024-11-03,Local Pickup,0.0,Cash on Delivery,CAMP008,1,Phone,SR018,9725.58,778.05,1686.3313437520835,10503.63
ORD000008,2023-11-30,CUST01981,Cancelled,2023-12-01,,Standard,14.15,Check,CAMP013,1,Sales Rep,SR024,6314.570000000001,505.17,577.8405,6833.89
ORD000009,2024-06-30,CUST00802,Returned,2024-07-01,2024-07-06,International,56.41,PayPal,,0,Email,SR018,4254.12,340.33,0.0,4650.86
ORD000010,2024-02-27,CUST01152,Shipped,2024-03-02,,Next Day,47.75,Bank Transfer,,1,Phone,SR010,11035.939999999999,882.88,1314.5610000000001,11966.57
ORD000011,2024-01-10,CUST00580,On Hold,,,Local Pickup,0.0,Check,,0,In-Store,SR004,4654.950000000001,372.4,0.0,5027.35
ORD000012,2024-03-10,CUST00461,Cancelled,,,Next Day,40.78,Check,,1,Partner,SR010,104.04,8.32,34.68,153.14
ORD000013,2024-11-17,CUST01349,Cancelled,,,Standard,10.73,Credit Card,,0,Mobile App,SR019,2349.8,187.98,,2548.51
ORD000014,2024-01-28,CUST00635,Completed,2024-01-30,2024-02-07,Next Day,31.24,PayPal,,0,Mobile App,SR002,7308.95,584.72,0.0,7924.91
ORD000015,2024-11-01,CUST00696,Cancelled,2024-11-06,,Next Day,38.98,Cash on Delivery,,1,In-Store,SR001,9737.71,779.02,2521.7325,10555.71
ORD000016,2024-06-29,CUST00158,Cancelled,2024-07-04,,Express,18.12,Bank Transfer,CAMP009,1,Mobile App,SR030,9911.51,792.92,984.488,10722.55
ORD000017,2024-07-21,CUST00654,Processing,,,International,92.41,Credit Card,,0,Partner,SR018,5656.7300000000005,452.54,0.0,6201.68
ORD000018,2024-01-11,CUST00628,On Hold,,,Next Day,41.35,Cash on Delivery,CAMP015,1,Website,SR007,14458.080000000002,1156.65,861.89,15656.08
ORD000019,2024-10-12,CUST00493,Shipped,2024-10-17,,Express,22.28,Bank Transfer,,1,In-Store,SR010,7579.83,606.39,1399.414,8208.5
ORD000020,2024-08-10,CUST00024,Processing,,,International,86.49,Check,,1,Website,SR001,4978.84,398.31,339.011,5463.64
ORD000021,2024-02-12,CUST00062,Shipped,2024-02-15,,International,92.91,Bank Transfer,,1,Email,SR001,8496.91,679.75,816.823,9269.57
ORD000022,2025-02-04,CUST00642,Returned,2025-02-08,2025-02-13,Local Pickup,0.0,Check,,0,Partner,SR028,7952.11,636.17,0.0,8588.28
ORD000023,2024-07-04,CUST00248,Completed,2024-07-06,2024-07-16,Standard,5.48,Credit Card,,1,Email,SR021,641.04,51.28,0.0,697.8
ORD000024,2024-09-30,CUST01046,Completed,2024-10-05,2024-10-09,International,94.05,Credit Card,,0,In-Store,SR027,11541.690000000002,923.34,0.0,12559.08
ORD000025,2025-01-08,CUST01410,Cancelled,,,International,86.85,Cash on Delivery,,0,Phone,SR012,15566.419999999998,1245.31,0.0,16898.58
ORD000026,2025-02-22,CUST01628,Completed,2025-02-26,2025-03-01,Standard,13.12,PayPal,CAMP002,1,Sales Rep,SR003,1185.42,94.83,135.02200000000002,1293.37
ORD000027,2024-10-30,CUST01984,Completed,2024-11-04,2024-11-10,Next Day,49.7,PayPal,,0,Partner,SR003,2370.59,189.65,0.0,2609.94
ORD000028,2024-01-26,CUST00284,Returned,2024-01-30,2024-01-29,International,55.2,Bank Transfer,CAMP020,1,Sales Rep,SR008,2011.9,160.95,355.041,2228.05
ORD000029,2025-02-14,CUST01536,Shipped,2025-02-16,,Express,19.74,Credit Card,CAMP006,1,Sales Rep,SR016,3467.05,277.36,182.4765,3764.15
ORD000030,2023-09-07,CUST01692,Completed,2023-09-12,2023-09-13,Next Day,41.66,Credit Card,CAMP014,1,In-Store,SR014,14181.6,1134.53,2446.1319999999996,15357.79
ORD000031,2024-03-06,CUST01469,Cancelled,,,Express,26.95,PayPal,,0,Mobile App,SR021,1552.48,124.2,0.0,1703.63
ORD000032,2024-06-08,CUST01276,Returned,2024-06-11,2024-06-21,International,87.79,Credit Card,CAMP017,1,Sales Rep,SR002,2775.0299999999997,222.0,,3084.82
ORD000033,2024-11-29,CUST00187,On Hold,,,Standard,6.69,Bank Transfer,,0,In-Store,SR029,3126.2599999999998,250.1,0.0,3383.05
ORD000034,2023-08-23,CUST01691,Cancelled,,,Local Pickup,0.0,PayPal,,1,Mobile App,SR022,4721.49,377.72,290.89,5099.21
ORD000035,2023-11-07,CUST00849,Completed,2023-11-11,2023-11-21,Local Pickup,0.0,PayPal,,0,Phone,SR022,5463.639999999999,437.09,0.0,5900.73
ORD000036,2023-10-27,CUST00127,Processing,,,Express,21.19,Check,,1,Sales Rep,SR025,1184.25,94.74,131.583,1300.18
ORD000037,2023-01-06,CUST01098,Shipped,2023-01-08,,Next Day,34.72,Credit Card,CAMP009,1,Phone,SR018,15112.68,1209.01,1174.546,16356.41
ORD000038,2024-01-08,CUST01295,Returned,2024-01-13,2024-01-17,Standard,11.56,Credit Card,,0,Sales Rep,SR010,3276.7,262.14,0.0,3550.4
ORD000039,2025-03-21,CUST00531,Completed,2025-03-22,2025-03-29,Next Day,30.54,Bank Transfer,,0,Partner,SR001,9426.0,754.08,0.0,10210.62
ORD000040,2025-02-25,CUST00596,Processing,,,International,58.84,Check,,1,Email,SR026,586.28,46.9,103.461,692.02
ORD000041,2023-09-21,CUST00822,Returned,2023-09-24,2023-09-30,Local Pickup,0.0,PayPal,,0,Email,SR025,2823.7599999999998,225.9,0.0,3049.66
ORD000042,2023-04-24,CUST01309,Shipped,2023-04-26,,Next Day,30.18,Cash on Delivery,,0,Website,SR007,8584.300000000001,686.74,0.0,9301.22
ORD000043,2023-02-09,CUST01200,Returned,2023-02-14,2023-02-15,Express,21.96,PayPal,,0,Partner,SR009,7764.5,621.16,0.0,8407.62
ORD000044,2023-11-28,CUST01901,Returned,2023-11-29,2023-12-05,Local Pickup,0.0,PayPal,CAMP009,1,Sales Rep,SR004,3673.08,293.85,731.6407678627464,3966.93
ORD000045,2023-04-15,CUST00598,Processing,,,Standard,5.38,PayPal,,1,Website,SR012,1894.72,151.58,376.358,2051.68
ORD000046,2023-09-14,CUST00063,On Hold,,,Express,24.18,Bank Transfer,CAMP009,1,Email,SR010,3540.4500000000003,283.24,1157.03,3847.87
ORD000047,2024-10-10,CUST01707,Returned,2024-10-14,,Local Pickup,0.0,Check,CAMP006,1,Email,SR006,4055.18,324.41,715.62,4379.59
ORD000048,2023-02-17,CUST00960,Returned,2023-02-21,2023-02-23,Standard,6.11,Check,,0,Email,SR007,4827.15,386.17,0.0,5219.43
ORD000049,2025-03-09,CUST01398,Shipped,2025-03-12,,Local Pickup,0.0,PayPal,,0,In-Store,SR007,8578.98,686.32,0.0,9265.3
ORD000050,2024-08-06,CUST01416,Shipped,2024-08-07,,Standard,14.38,Check,,0,In-Store,SR025,10889.11,871.13,0.0,11774.62
ORD000051,2024-05-08,CUST01247,Completed,2024-05-13,2024-05-15,Express,21.06,PayPal,,0,Website,SR006,6644.9,531.59,0.0,7197.55
ORD000052,2024-08-21,CUST01425,Processing,,,Standard,5.12,Credit Card,CAMP003,1,Phone,SR005,6176.87,494.15,327.4215,6676.14
ORD000053,2024-05-22,CUST00200,Returned,2024-05-23,2024-05-25,International,65.07,Credit Card,,0,Email,SR001,18652.79,1492.22,0.0,20210.08
ORD000054,2023-06-20,CUST00657,On Hold,,,Local Pickup,0.0,Check,,0,Partner,SR007,12056.75,964.54,0.0,12056.75
ORD000055,2024-06-09,CUST01923,Returned,2024-06-12,2024-06-16,Express,27.85,Cash on Delivery,,0,Mobile App,SR016,10075.57,806.05,0.0,10909.47
ORD000056,2023-04-23,CUST01405,Returned,2023-04-26,2023-04-28,Express,27.17,Credit Card,,1,In-Store,SR014,1905.67,152.45,476.41800000000006,2085.29
ORD000057,2024-09-29,CUST01899,Processing,,,Express,24.46,Bank Transfer,,1,Phone,SR008,7865.96,629.28,1415.19,8519.7
ORD000058,2024-04-12,CUST00897,Processing,,,Next Day,44.22,Check,,0,Mobile App,SR019,8328.0,666.24,0.0,9038.46
ORD000059,2023-12-03,CUST01701,On Hold,,,Next Day,30.71,Bank Transfer,,0,Sales Rep,SR017,5239.610000000001,419.17,0.0,5689.49
ORD000060,2024-09-10,CUST00301,Completed,2024-09-13,2024-09-22,Next Day,30.57,Bank Transfer,,1,Email,SR029,7177.66,574.21,1488.1870000000001,7782.44
ORD000061,2024-08-29,CUST00888,Processing,,,International,61.15,Credit Card,,0,In-Store,SR025,2239.52,179.16,0.0,2479.83
ORD000062,2025-03-25,CUST01369,Completed,2025-03-28,2025-04-01,Local Pickup,0.0,Bank Transfer,,0,Partner,SR016,2191.1,175.29,0.0,2366.39
ORD000063,2025-01-18,CUST00925,Processing,,,Next Day,41.91,Bank Transfer,CAMP010,1,Email,SR026,704.85,56.39,78.31700000000001,803.15
ORD000064,2024-12-26,CUST00544,Processing,,,Express,23.43,Cash on Delivery,,1,Partner,SR029,5319.86,425.59,810.715,5768.88
ORD000065,2024-11-29,CUST00253,On Hold,,,Express,20.35,Bank Transfer,CAMP016,1,Email,SR030,1211.1,96.89,222.1855,1328.34
ORD000066,2025-03-10,CUST00808,Processing,,,Express,21.39,Bank Transfer,,1,In-Store,SR029,7761.45,620.92,1798.0415,8403.76
ORD000067,2024-12-22,CUST00097,Shipped,2024-12-23,,Express,16.72,Bank Transfer,CAMP001,1,Sales Rep,SR003,5053.09,404.25,663.994,5474.06
ORD000068,2024-11-23,CUST00846,Returned,2024-11-27,2024-12-06,International,92.59,PayPal,,0,Website,SR003,16120.529999999999,1289.64,0.0,22464.100253627505
ORD000069,2025-03-19,CUST01455,On Hold,,,International,90.68,Cash on Delivery,,0,Mobile App,SR008,7486.36,598.91,0.0,8175.95
ORD000070,2025-02-04,CUST00517,Cancelled,,,Next Day,46.16,Credit Card,CAMP009,1,Mobile App,SR009,13404.24,1072.34,2179.546,14522.74
